loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,sub_class,work_type,employer_type,industry,work_year,house_exist,house_loan_status,censor_status,marriage,offsprings,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,pub_dero_bankrup,early_return,early_return_amount,early_return_amount_3mon,recircle_b,recircle_u,initial_list_status,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,f5,isDefault
99109,4297,10700,5,14.48,251.65,C,C5,工人,普通企业,制造业,1 year,2,1,0,1,0,2015-12-01,0,314.0,0,20.44,0.0,720.0,724.0,0.0,0,0,0.0,3787.0,94.7,1,Feb-2001,0.0,1.0,1.0,0.0,21.0,11.0,8.0,0.0,0
681415,4429,18000,5,15.31,431.16,C,C2,工程师,幼教与中小学校,金融业,< 1 year,1,1,2,1,3,2013-04-01,0,160.0,4,19.66,0.0,720.0,724.0,0.0,0,0,0.0,15643.0,75.9,0,Oct-2001,193.0,1.0,3.0,0.0,19.0,9.0,6.0,0.0,0
379226,4961,12000,3,13.68,408.27,C,C1,其他,普通企业,信息传输、软件和信息技术服务业,6 years,1,0,0,0,0,2013-08-01,0,74.0,30,17.76,0.0,720.0,724.0,0.0,0,0,0.0,9411.0,49.0,1,Feb-2000,38.0,1.0,5.0,0.0,17.0,13.0,9.0,2.0,1
243115,5085,8000,3,8.39,252.14,A,A5,工程师,政府机构,公共服务、社会组织,10+ years,0,1,0,1,5,2014-07-01,2,577.0,3,0.96,0.0,810.0,814.0,0.0,2,86,32.23694556413647,369.0,1.8,0,Dec-1993,5.0,1.0,2.0,0.0,3.0,12.0,7.0,0.0,0
748151,5183,7900,3,16.29,278.88,D,D2,工人,普通企业,金融业,8 years,2,0,0,1,5,2014-10-01,4,397.0,35,21.02,0.0,720.0,724.0,0.0,0,0,0.0,32911.0,73.0,0,Aug-2004,4.0,1.0,6.0,0.0,8.0,19.0,11.0,0.0,0
380153,5541,20000,5,11.49,439.76,B,B4,其他,上市企业,金融业,4 years,0,1,2,1,5,2011-08-01,4,235.0,8,12.92,0.0,770.0,774.0,0.0,0,0,0.0,20638.0,60.5,1,Mar-1995,1019.0,1.0,,,,,,,0
645444,5774,14250,5,18.54,366.06,E,E1,其他,世界五百强,建筑业,8 years,1,1,2,2,0,2015-02-01,0,123.0,12,31.11,0.0,720.0,724.0,0.0,0,0,0.0,12164.0,68.3,0,Mar-2001,0.0,1.0,4.0,0.0,4.0,19.0,7.0,0.0,1
213615,5789,30675,3,9.17,977.89,B,B2,其他,普通企业,电力、热力生产供应业,10+ years,0,2,1,1,5,2015-07-01,0,89.0,3,18.56,0.0,790.0,794.0,0.0,0,0,0.0,56051.0,35.5,0,May-1988,0.0,1.0,7.0,0.0,5.0,28.0,14.0,0.0,0
44359,6035,10000,3,14.3,343.24,C,C1,其他,世界五百强,金融业,10+ years,0,1,0,0,0,2013-11-01,5,215.0,8,8.1,0.0,720.0,724.0,0.0,0,0,0.0,15681.0,88.6,0,Apr-1986,24984.0,1.0,5.0,0.0,4.0,12.0,9.0,0.0,0
525627,6159,16500,3,8.9,523.93,A,A5,工人,普通企业,文化和体育业,< 1 year,1,1,1,1,5,2011-12-01,0,79.0,2,9.06,0.0,745.0,749.0,0.0,3,54,22.42026054599197,13917.0,38.8,1,Mar-2001,38.0,1.0,,,,,,,0
706429,6418,12000,3,8.9,381.04,A,A5,职员,普通企业,公共服务、社会组织,10+ years,0,0,1,1,1,2014-01-01,4,5.0,4,33.67,0.0,755.0,759.0,0.0,0,0,0.0,30274.0,40.9,0,Oct-1989,4.0,1.0,7.0,0.0,10.0,21.0,14.0,0.0,0
416049,6731,25000,3,11.98,830.12,B,B5,其他,幼教与中小学校,公共服务、社会组织,2 years,1,1,2,0,0,2018-04-01,0,124.0,13,14.45,0.0,750.0,754.0,0.0,0,0,0.0,14146.0,28.6,0,Feb-2015,0.0,1.0,4.0,0.0,1.0,6.0,5.0,0.0,1
782417,6809,3500,3,13.99,119.61,C,C4,其他,普通企业,住宿和餐饮业,10+ years,1,1,1,0,0,2015-08-01,0,136.0,8,21.92,0.0,720.0,724.0,0.0,0,0,0.0,37269.0,96.6,0,Jun-2000,0.0,1.0,7.0,0.0,1.0,9.0,7.0,0.0,1
613794,6818,10000,3,7.69,311.94,A,A4,其他,幼教与中小学校,信息传输、软件和信息技术服务业,< 1 year,0,1,0,1,2,2014-07-01,0,731.0,0,10.43,0.0,770.0,774.0,0.0,1,122,25.79081606333184,16050.0,29.4,0,Aug-1997,0.0,1.0,4.0,0.0,6.0,26.0,7.0,0.0,0
226050,7120,15000,3,14.65,517.42,C,C5,其他,政府机构,住宿和餐饮业,4 years,0,0,1,1,1,2015-04-01,1,400.0,17,20.03,0.0,720.0,724.0,0.0,0,0,0.0,15014.0,69.5,0,Feb-1983,1.0,1.0,6.0,0.0,9.0,8.0,2.0,0.0,0
579310,7378,12350,3,12.29,411.91,C,C1,其他,普通企业,金融业,10+ years,0,1,2,1,5,2015-04-01,0,567.0,9,15.84,0.0,775.0,779.0,0.0,0,0,0.0,9226.0,32.9,1,Dec-1992,0.0,1.0,5.0,0.0,9.0,10.0,3.0,0.0,0
540696,7473,32000,5,15.61,771.57,C,C3,其他,幼教与中小学校,采矿业,10+ years,0,0,1,0,0,2013-10-01,4,506.0,29,13.45,0.0,780.0,784.0,0.0,0,0,0.0,25039.0,32.7,1,Jan-1988,299.0,1.0,4.0,0.0,9.0,26.0,12.0,0.0,0
269616,7542,10900,5,21.49,297.9,D,D5,工人,政府机构,建筑业,7 years,0,0,0,0,0,2017-01-01,0,460.0,27,4.22,0.0,805.0,809.0,0.0,0,0,0.0,20936.0,57.0,0,Jun-2002,0.0,1.0,3.0,0.0,1.0,8.0,7.0,0.0,0
759457,7612,25000,3,12.99,842.23,B,B4,职员,普通企业,农、林、牧、渔业,4 years,1,0,1,0,0,2013-10-01,0,129.0,30,23.05,0.0,735.0,739.0,0.0,0,0,0.0,13025.0,44.5,1,Sep-2001,0.0,1.0,5.0,0.0,23.0,15.0,8.0,0.0,0
482605,7620,38000,3,9.44,1216.19,B,B1,公务员,政府机构,金融业,10+ years,0,0,2,0,0,2017-12-01,6,221.0,8,2.56,0.0,660.0,664.0,0.0,0,0,0.0,6554.0,24.0,0,Jul-1999,7.0,1.0,3.0,0.0,5.0,17.0,7.0,1.0,0
139339,7633,18600,3,8.9,590.61,A,A5,工程师,普通企业,农、林、牧、渔业,10+ years,2,1,2,0,0,2013-04-01,0,377.0,11,30.88,0.0,790.0,794.0,0.0,0,0,0.0,1099.0,3.7,1,Dec-1998,40975.0,1.0,4.0,0.0,6.0,8.0,4.0,0.0,0
15887,7977,5000,3,13.49,169.66,C,C2,公务员,上市企业,金融业,10+ years,0,0,1,0,0,2017-03-01,4,17.0,13,4.73,0.0,735.0,739.0,0.0,0,0,0.0,31150.0,70.0,0,Apr-2002,4.0,1.0,4.0,0.0,3.0,9.0,9.0,0.0,0
559091,8010,32725,3,10.42,1062.41,B,B3,公务员,上市企业,农、林、牧、渔业,1 year,0,1,2,2,2,2017-08-01,0,468.0,0,26.58,1.0,755.0,759.0,0.0,0,0,0.0,43706.0,55.8,1,Mar-1989,0.0,1.0,6.0,0.0,9.0,29.0,12.0,0.0,0
755075,8086,12500,3,19.99,464.49,D,D4,工程师,幼教与中小学校,房地产业,2 years,1,0,0,0,0,2017-04-01,0,276.0,20,31.84,0.0,720.0,724.0,1.0,0,0,0.0,11162.0,48.5,0,Feb-1991,0.0,1.0,9.0,0.0,14.0,17.0,10.0,0.0,1
626246,8268,25625,5,10.42,549.77,B,B3,公务员,政府机构,信息传输、软件和信息技术服务业,10+ years,0,1,0,0,0,2017-09-01,5,216.0,8,17.07,0.0,845.0,850.0,0.0,0,0,0.0,71548.0,2.4,0,Oct-1988,6.0,1.0,4.0,0.0,2.0,13.0,9.0,0.0,0
53274,8458,28000,5,13.99,651.37,C,C4,工人,政府机构,采矿业,10+ years,0,0,1,0,0,2015-04-01,0,190.0,17,13.09,0.0,770.0,774.0,0.0,0,0,0.0,33373.0,36.2,1,Jun-1991,0.0,1.0,6.0,0.0,15.0,19.0,11.0,0.0,0
302090,8624,11100,3,14.33,381.16,C,C1,其他,普通企业,住宿和餐饮业,5 years,2,0,0,0,0,2013-04-01,0,276.0,20,16.29,0.0,720.0,724.0,0.0,0,0,0.0,8766.0,76.9,1,Nov-2001,43785.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,1
291321,8694,12000,3,5.32,361.38,A,A1,工程师,普通企业,公共服务、社会组织,3 years,2,0,0,0,0,2016-02-01,2,103.0,36,14.85,0.0,835.0,839.0,0.0,0,0,0.0,5884.0,5.9,0,Apr-1999,5.0,1.0,3.0,0.0,3.0,7.0,4.0,0.0,0
759551,8926,3275,3,18.24,118.8,D,D5,其他,幼教与中小学校,电力、热力生产供应业,10+ years,0,1,0,1,3,2014-07-01,4,70.0,32,32.04,0.0,720.0,724.0,0.0,0,0,0.0,16253.0,92.9,1,Jul-1989,4.0,1.0,7.0,0.0,3.0,14.0,8.0,0.0,0
465740,9250,28100,3,8.6,888.36,A,A4,公务员,普通企业,农、林、牧、渔业,10+ years,0,2,2,0,0,2013-10-01,4,74.0,30,15.04,0.0,755.0,759.0,0.0,0,0,0.0,38645.0,55.0,0,Jun-1987,26.0,1.0,4.0,0.0,0.0,13.0,4.0,0.0,0
469387,9684,23850,5,12.12,531.98,B,B3,公务员,政府机构,信息传输、软件和信息技术服务业,10+ years,0,1,1,1,3,2012-09-01,0,115.0,8,8.87,0.0,735.0,739.0,0.0,0,0,0.0,28771.0,69.5,1,Jun-1998,38.0,1.0,5.0,0.0,2.0,12.0,7.0,0.0,0
225024,9691,12000,3,8.39,378.2,A,A5,工人,政府机构,房地产业,10+ years,1,1,2,1,0,2014-10-01,5,17.0,13,3.48,0.0,790.0,794.0,0.0,0,0,0.0,17403.0,17.1,0,May-2001,6.0,1.0,6.0,0.0,1.0,13.0,7.0,0.0,0
740218,9775,28000,3,5.32,843.22,A,A1,其他,幼教与中小学校,金融业,< 1 year,0,1,1,0,0,2015-08-01,3,57.0,9,7.96,0.0,835.0,839.0,0.0,0,0,0.0,205971.0,8.7,0,Feb-1981,3.0,1.0,2.0,0.0,4.0,16.0,10.0,0.0,0
168787,9789,28000,3,8.9,889.09,A,A5,其他,上市企业,建筑业,8 years,1,0,1,0,0,2014-01-01,0,330.0,21,11.0,0.0,750.0,754.0,0.0,0,0,0.0,14927.0,31.3,0,Feb-2006,1100.0,1.0,5.0,0.0,3.0,10.0,9.0,0.0,0
1806,9914,8000,3,12.49,267.6,B,B5,工程师,幼教与中小学校,金融业,10+ years,1,1,0,1,5,2014-09-01,0,698.0,35,25.3,0.0,730.0,734.0,0.0,0,0,0.0,25203.0,67.9,1,May-1994,0.0,1.0,9.0,0.0,3.0,13.0,4.0,0.0,0
299338,9958,35000,5,13.98,814.03,C,C3,职员,政府机构,采矿业,,0,0,1,0,0,2014-09-01,0,103.0,36,22.86,0.0,805.0,809.0,0.0,0,0,0.0,22158.0,50.6,0,Jun-1973,0.0,1.0,3.0,0.0,9.0,12.0,6.0,0.0,0
370172,10258,11925,3,15.61,416.96,D,D1,其他,世界五百强,电力、热力生产供应业,9 years,0,0,1,0,0,2015-06-01,0,519.0,9,28.16,0.0,775.0,779.0,0.0,0,0,0.0,6419.0,24.7,1,Nov-1995,0.0,1.0,4.0,0.0,3.0,10.0,8.0,0.0,1
786147,10525,35000,3,13.68,1190.79,C,C1,其他,政府机构,金融业,7 years,1,0,2,2,4,2013-08-01,4,17.0,13,23.32,0.0,755.0,759.0,0.0,0,0,0.0,48197.0,59.7,0,Jun-1990,234.0,1.0,4.0,0.0,12.0,14.0,9.0,0.0,0
457480,10639,12000,5,25.49,355.68,E,E4,工程师,幼教与中小学校,电力、热力生产供应业,10+ years,1,2,0,0,0,2017-02-01,4,65.0,19,13.98,0.0,720.0,724.0,1.0,0,0,0.0,9107.0,14.7,0,Sep-2000,4.0,1.0,4.0,0.0,29.0,15.0,9.0,0.0,1
757569,10745,11400,5,13.98,265.14,C,C1,其他,普通企业,采矿业,10+ years,0,1,1,0,0,2014-01-01,4,132.0,12,19.67,0.0,720.0,724.0,0.0,0,0,0.0,20801.0,64.2,1,Dec-1994,4.0,1.0,10.0,0.0,14.0,33.0,14.0,0.0,1
196226,10776,30000,5,13.49,690.15,C,C2,工程师,上市企业,文化和体育业,2 years,0,1,2,1,2,2016-12-01,0,171.0,8,18.89,0.0,790.0,794.0,0.0,0,0,0.0,261106.0,26.7,0,Apr-1993,0.0,1.0,8.0,0.0,11.0,21.0,7.0,0.0,0
75532,10931,10500,3,24.85,416.65,E,E3,职员,普通企业,采矿业,3 years,1,0,0,0,0,2017-12-01,0,143.0,8,21.36,0.0,720.0,724.0,0.0,0,0,0.0,20120.0,42.0,1,Feb-1995,0.0,1.0,5.0,,0.0,10.0,9.0,0.0,1
582554,11407,5000,3,8.9,158.77,A,A5,公务员,普通企业,文化和体育业,10+ years,0,1,1,0,0,2014-01-01,2,356.0,32,28.11,0.0,750.0,754.0,0.0,0,0,0.0,21663.0,56.6,1,Aug-1982,226.0,1.0,8.0,0.0,3.0,12.0,5.0,0.0,0
638075,11600,10000,3,12.49,334.49,B,B5,职员,普通企业,电力、热力生产供应业,10+ years,1,0,0,1,5,2014-07-01,10,115.0,8,22.98,0.0,730.0,734.0,0.0,0,0,0.0,13604.0,46.7,0,Mar-2004,11.0,1.0,4.0,0.0,5.0,11.0,7.0,0.0,0
85145,11661,35000,3,13.68,1190.79,C,C1,其他,普通企业,公共服务、社会组织,1 year,0,1,2,0,0,2013-09-01,0,223.0,12,9.03,0.0,745.0,749.0,0.0,0,0,0.0,24534.0,65.2,1,Dec-2002,38.0,1.0,4.0,0.0,12.0,15.0,10.0,0.0,0
736878,11732,35000,5,10.08,745.03,B,B1,职员,政府机构,建筑业,7 years,0,0,2,1,5,2018-08-01,0,309.0,30,4.68,0.0,835.0,839.0,0.0,0,0,0.0,844.0,6.0,0,Sep-1999,0.0,1.0,1.0,0.0,1.0,6.0,4.0,0.0,0
62303,11797,25000,5,18.99,648.38,D,D3,其他,政府机构,电力、热力生产供应业,,2,0,0,1,5,2016-12-01,2,705.0,19,29.54,0.0,815.0,819.0,0.0,0,0,0.0,117712.0,9.4,0,Aug-1991,5.0,1.0,4.0,0.0,4.0,26.0,17.0,0.0,0
727263,11805,15150,5,18.94,392.5,D,D2,公务员,普通企业,房地产业,10+ years,0,0,0,1,2,2018-07-01,5,275.0,8,38.3,0.0,720.0,724.0,1.0,0,0,0.0,10797.0,43.7,0,Mar-2008,6.0,1.0,3.0,0.0,13.0,9.0,6.0,0.0,0
687706,11856,11350,3,17.86,409.54,D,D5,工程师,普通企业,公共服务、社会组织,,2,1,0,0,0,2015-08-01,0,331.0,8,17.22,1.0,720.0,724.0,0.0,0,0,0.0,6849.0,37.2,1,May-1976,0.0,1.0,4.0,0.0,12.0,14.0,9.0,0.0,0
177914,11919,28000,3,9.91,902.3,B,B1,工人,政府机构,制造业,1 year,1,2,1,0,0,2011-10-01,0,682.0,2,2.14,0.0,750.0,754.0,0.0,1,73,19.50806938356714,16941.0,42.1,1,Jun-2002,3875.0,1.0,,,,,,,0
623643,12066,5000,3,14.31,171.65,C,C4,公务员,普通企业,金融业,7 years,0,1,2,0,0,2014-11-01,0,62.0,13,13.92,0.0,720.0,724.0,0.0,0,0,0.0,19111.0,89.7,0,Apr-1998,0.0,1.0,5.0,0.0,7.0,15.0,8.0,0.0,0
765807,12554,8200,3,15.31,285.51,C,C4,其他,政府机构,国际组织,1 year,0,1,2,0,0,2014-02-01,4,340.0,14,30.64,0.0,720.0,724.0,1.0,0,0,0.0,3768.0,23.7,0,May-2003,4.0,1.0,3.0,0.0,7.0,9.0,3.0,0.0,0
70707,12616,31500,3,8.39,992.78,A,A5,工人,政府机构,信息传输、软件和信息技术服务业,10+ years,0,2,2,1,4,2014-06-01,4,435.0,36,23.95,0.0,765.0,769.0,0.0,0,0,0.0,23416.0,38.9,1,Nov-1982,4.0,1.0,8.0,0.0,4.0,14.0,10.0,0.0,0
117689,12622,15000,3,6.49,459.67,A,A2,工人,政府机构,批发和零售业,< 1 year,0,0,0,1,0,2014-10-01,0,111.0,8,2.33,0.0,830.0,834.0,0.0,0,0,0.0,10032.0,8.6,0,Mar-2000,0.0,1.0,3.0,0.0,0.0,14.0,9.0,0.0,0
197768,12922,6000,3,16.02,211.01,C,C5,公务员,普通企业,建筑业,10+ years,1,1,1,1,3,2018-01-01,0,429.0,8,15.06,0.0,720.0,724.0,0.0,0,0,0.0,6785.0,94.2,0,Mar-2000,0.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,0
328403,12997,14775,5,28.69,466.21,F,F1,工人,普通企业,房地产业,10+ years,0,1,2,0,0,2016-11-01,0,377.0,11,15.93,0.0,720.0,724.0,0.0,0,0,0.0,10082.0,100.8,0,Jun-2007,0.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,1
745310,13012,7000,3,11.14,229.63,B,B1,工人,普通企业,建筑业,2 years,1,0,0,1,2,2009-11-01,13,102.0,26,1.53,0.0,770.0,774.0,0.0,1,77,27.740562814941548,777.0,4.8,1,Oct-2005,17408.0,1.0,,,,,,,0
616822,13075,5600,3,7.62,174.51,A,A3,公务员,普通企业,信息传输、软件和信息技术服务业,< 1 year,1,0,2,2,3,2013-01-01,4,428.0,9,21.05,0.0,785.0,789.0,0.0,0,0,0.0,33846.0,64.8,1,Sep-1995,49838.0,1.0,4.0,0.0,5.0,14.0,9.0,0.0,0
55360,13179,1000,3,13.11,33.75,B,B4,其他,普通企业,金融业,< 1 year,0,0,2,1,4,2013-03-01,4,265.0,7,5.01,0.0,745.0,749.0,0.0,1,120,32.33744025692644,1060.0,7.5,1,Sep-1979,4.0,1.0,3.0,0.0,5.0,22.0,5.0,0.0,0
447276,13549,28000,3,15.8,981.64,C,C3,工程师,普通企业,公共服务、社会组织,5 years,0,1,2,0,0,2013-06-01,2,236.0,7,17.08,1.0,745.0,749.0,0.0,0,0,0.0,19176.0,51.3,0,Jul-1991,94.0,1.0,8.0,0.0,17.0,15.0,9.0,0.0,0
135656,13642,4975,3,12.99,167.61,B,B5,工人,普通企业,金融业,10+ years,0,0,0,1,2,2014-04-01,2,573.0,19,15.05,0.0,735.0,739.0,0.0,0,0,0.0,34720.0,68.2,0,Oct-2003,5.0,1.0,6.0,0.0,3.0,11.0,4.0,0.0,0
308533,13651,19200,5,11.98,426.9,B,B5,工人,世界五百强,住宿和餐饮业,10+ years,2,1,0,0,0,2018-03-01,5,383.0,14,10.43,0.0,760.0,764.0,0.0,2,274,138.76872173127154,6258.0,17.3,0,Jan-2007,6.0,1.0,5.0,0.0,6.0,20.0,14.0,0.0,0
454635,13673,9000,3,7.49,279.92,A,A4,工人,政府机构,信息传输、软件和信息技术服务业,1 year,1,0,0,1,0,2015-01-01,4,54.0,28,8.01,2.0,660.0,664.0,0.0,3,414,98.97886942728692,8922.0,78.3,0,May-1999,4.0,1.0,3.0,0.0,1.0,7.0,5.0,0.0,0
321404,13832,5500,3,7.62,171.39,A,A3,公务员,高等教育机构,采矿业,10+ years,0,1,0,2,5,2014-02-01,8,359.0,43,6.49,0.0,835.0,839.0,0.0,0,0,0.0,14018.0,16.8,1,Aug-2000,9.0,1.0,7.0,0.0,5.0,18.0,9.0,0.0,0
